livro, codigo,localidade
GRUPO MUSICAL,BR 21-0614,ESTAÇÃO EVANGELISTA DE SOUZA
GRUPO MUSICAL,BR 21-0176,ENGENHEIRO MARSILAC
GRUPO MUSICAL,BR 21-0165,EMBURA
GRUPO MUSICAL,BR 21-0175,COLÔNIA PAULISTA
GRUPO MUSICAL,BR 21-0768,CIDADE NOVA AMÉRICA
GRUPO MUSICAL,BR 21-0626,CHÁCARAS SANTO AMARO
GRUPO MUSICAL,BR 21-0180,CHÁCARA MARIETA
GRUPO MUSICAL,BR 21-0172,CASA GRANDE
GRUPO MUSICAL,BR 21-0167,BARRAGEM
GRUPO MUSICAL,BR 21-0421,JARDIM ELIANE
LIMPEZA,BR 21-0167,BARRAGEM
LIMPEZA,BR 21-0421,JARDIM ELIANE
LIMPEZA,BR 21-0172,CASA GRANDE
LIMPEZA,BR 21-0180,CHÁCARA MARIETA
LIMPEZA,BR 21-0626,CHÁCARAS SANTO AMARO
LIMPEZA,BR 21-0768,CIDADE NOVA AMÉRICA
LIMPEZA,BR 21-0175,COLÔNIA PAULISTA
LIMPEZA,BR 21-0165,EMBURA
LIMPEZA,BR 21-0176,ENGENHEIRO MARSILAC
LIMPEZA,BR 21-0614,ESTAÇÃO EVANGELISTA DE SOUZA
LIMPEZA,BR 21-0177,FAZENDA DO SCHUNK
LIMPEZA,BR 21-0178,INTERLAGOS
LIMPEZA,BR 21-0179,ITAIM
LIMPEZA,BR 21-0478,JARDIM DAS FONTES
LIMPEZA,BR 21-0504,JARDIM DAS LARANJEIRAS
LIMPEZA,BR 21-0182,JARDIM DOS ÁLAMOS
LIMPEZA,BR 21-0171,JARDIM DOS VELEIROS
LIMPEZA,BR 21-0183,JARDIM GUANHEMBU
LIMPEZA,BR 21-0184,JARDIM IPORANGA
LIMPEZA,BR 21-0190,JARDIM LALO
LIMPEZA,BR 21-0527,JARDIM LUCÉLIA
LIMPEZA,BR 21-0523,JARDIM MARILDA
LIMPEZA,BR 21-0525,JARDIM SANTA BÁRBARA
LIMPEZA,BR 21-0388,JARDIM SÃO BERNARDO
LIMPEZA,BR 21-0627,JARDIM SÃO NORBERTO
LIMPEZA,BR 21-0524,JARDIM SÃO RAFAEL
LIMPEZA,BR 21-1055,JARDIM SETE DE SETEMBRO
LIMPEZA,BR 21-0188,JARDIM TRÊS CORAÇÕES
LIMPEZA,BR 21-0195,PARELHEIROS
LIMPEZA,BR 21-0528,PARQUE FLORESTAL
LIMPEZA,BR 21-0196,PARQUE GRAJAÚ
LIMPEZA,BR 21-0622,PARQUE RESIDENCIAL COCAIA
LIMPEZA,BR 21-0204,VILA SÃO JOSÉ
LIMPEZA,BR 21-0931,RECANTO ANA MARIA
LIMPEZA,BR 21-0758,RECANTO DOS NOBRES
LIMPEZA,BR 21-0689,VARGEM GRANDE
LIMPEZA,BR 21-1208,ILHA DO BORORÉ
LIMPEZA,BR 21-0201,VILA ESPERANÇA
LIMPEZA,BR 21-0861,VILA ROSCHEL
LIMPEZA,BR 21-0669,PONTE SECA
LIMPEZA,BR 21-1155,JARDIM DAS FONTES
MANUTENÇÃO PREVENTIVA,BR 21-0861,VILA ROSCHEL
MANUTENÇÃO PREVENTIVA,BR 21-0201,VILA ESPERANÇA
MANUTENÇÃO PREVENTIVA,BR 21-1208,ILHA DO BORORÉ
MANUTENÇÃO PREVENTIVA,BR 21-0689,VARGEM GRANDE
MANUTENÇÃO PREVENTIVA,BR 21-0758,RECANTO DOS NOBRES
MANUTENÇÃO PREVENTIVA,BR 21-0931,RECANTO ANA MARIA
MANUTENÇÃO PREVENTIVA,BR 21-0204,VILA SÃO JOSÉ
MANUTENÇÃO PREVENTIVA,BR 21-0669,PONTE SECA
MANUTENÇÃO PREVENTIVA,BR 21-1155,JARDIM DAS FONTES
MANUTENÇÃO PREVENTIVA,BR 21-0622,PARQUE RESIDENCIAL COCAIA
MANUTENÇÃO PREVENTIVA,BR 21-0196,PARQUE GRAJAÚ
MANUTENÇÃO PREVENTIVA,BR 21-0528,PARQUE FLORESTAL
MANUTENÇÃO PREVENTIVA,BR 21-0195,PARELHEIROS
MANUTENÇÃO PREVENTIVA,BR 21-0188,JARDIM TRÊS CORAÇÕES
MANUTENÇÃO PREVENTIVA,BR 21-1055,JARDIM SETE DE SETEMBRO
MANUTENÇÃO PREVENTIVA,BR 21-0524,JARDIM SÃO RAFAEL
MANUTENÇÃO PREVENTIVA,BR 21-0627,JARDIM SÃO NORBERTO
MANUTENÇÃO PREVENTIVA,BR 21-0388,JARDIM SÃO BERNARDO
MANUTENÇÃO PREVENTIVA,BR 21-0525,JARDIM SANTA BÁRBARA
MANUTENÇÃO PREVENTIVA,BR 21-0523,JARDIM MARILDA
MANUTENÇÃO PREVENTIVA,BR 21-0527,JARDIM LUCÉLIA
MANUTENÇÃO PREVENTIVA,BR 21-0190,JARDIM LALO
MANUTENÇÃO PREVENTIVA,BR 21-0184,JARDIM IPORANGA
